x_B	x_D	delta	delta_mis
2.311	2.937	0.626	0.697
1.214	5.552	4.338	4.328
0.777	1.665	0.888	0.899
1.087	1.650	0.563	0.554
1.416	1.959	0.543	0.539
1.496	2.709	1.213	1.221
1.114	3.797	2.683	2.670
2.186	2.867	0.681	0.733
0.405	1.299	0.894	0.857
0.348	2.987	2.639	2.678
1.112	1.219	0.107	0.133
1.156	2.655	1.499	1.458
0.987	2.613	1.626	1.627
0.949	6.305	5.356	5.392
1.767	2.760	0.993	0.981
0.935	2.172	1.237	1.200
1.350	2.112	0.762	0.808
1.698	1.869	0.171	0.076
1.289	4.513	3.224	3.235
0.770	2.761	1.991	2.058
0.965	3.125	2.160	2.090
0.685	3.089	2.404	2.493
0.439	0.626	0.187	0.178
1.253	1.557	0.304	0.237
0.377	4.079	3.702	3.846
0.910	3.375	2.465	2.521
1.171	3.225	2.054	2.131
1.020	1.053	0.033	0.042
0.538	1.446	0.908	0.913
0.361	1.757	1.396	1.401
0.777	2.828	2.051	2.020
1.196	2.185	0.989	0.975
0.224	3.002	2.778	2.822
0.799	2.222	1.423	1.379
1.786	2.014	0.228	0.241
0.470	5.546	5.076	5.285
1.071	1.391	0.320	0.272
0.316	1.045	0.729	0.739
0.830	1.207	0.377	0.363
1.501	2.356	0.855	0.974
0.371	1.128	0.757	0.747
1.347	2.819	1.472	1.633
1.302	3.994	2.692	2.812
1.394	1.778	0.384	0.404
0.561	2.074	1.513	1.552
0.086	2.059	1.973	1.991
1.866	2.732	0.866	0.903
1.244	1.825	0.581	0.543
1.568	5.770	4.202	4.213
0.449	1.377	0.928	0.971
1.445	2.479	1.034	1.025
0.364	1.887	1.523	1.568
1.184	4.178	2.994	3.022
1.461	3.412	1.951	1.953
1.106	4.043	2.937	3.031
0.204	3.939	3.735	3.672
0.867	2.506	1.639	1.594
0.720	1.507	0.787	0.803
0.629	1.081	0.452	0.426
0.750	2.207	1.457	1.475
0.724	3.941	3.217	3.344
1.170	1.217	0.047	-0.018
0.942	1.894	0.952	0.978
1.634	2.864	1.230	1.112
0.467	3.351	2.884	2.851
1.104	5.381	4.277	4.336
1.295	1.508	0.213	0.219
1.216	4.211	2.995	2.949
1.709	2.319	0.610	0.637
1.214	2.670	1.456	1.442
0.149	1.111	0.962	0.999
1.579	3.882	2.303	2.280
0.244	4.315	4.071	4.018
1.855	3.263	1.408	1.404
0.699	1.571	0.872	0.889
0.265	3.530	3.265	3.348
1.837	3.948	2.111	2.175
0.959	3.247	2.288	2.208
0.561	1.515	0.954	0.938
0.387	2.097	1.710	1.731
1.060	2.199	1.139	1.107
1.193	3.279	2.086	2.063
0.880	2.481	1.601	1.672
1.044	3.242	2.198	2.158
0.643	3.362	2.719	2.648
1.580	1.723	0.143	0.195
0.733	1.806	1.073	1.039
0.740	3.846	3.106	3.110
0.572	1.851	1.279	1.276
0.318	0.579	0.261	0.247
0.834	1.942	1.108	1.175
0.352	4.210	3.858	3.781
1.420	1.866	0.446	0.427
0.980	2.193	1.213	1.231
0.811	3.927	3.116	3.188
0.768	1.758	0.990	0.992
1.198	3.431	2.233	2.186
1.796	4.785	2.989	3.014
0.492	0.839	0.347	0.384
1.120	1.451	0.331	0.306
0.517	1.921	1.404	1.432
1.237	1.768	0.531	0.509
1.623	1.951	0.328	0.348
0.462	2.297	1.835	1.789
0.315	2.687	2.372	2.292
0.783	2.997	2.214	2.306
0.375	4.529	4.154	4.150
0.533	3.051	2.518	2.540
0.405	4.634	4.229	4.282
0.524	3.484	2.960	2.935
2.413	2.418	0.005	-0.043
0.658	4.067	3.409	3.280
1.629	2.269	0.640	0.611
0.242	2.688	2.446	2.437
0.885	1.017	0.132	0.150
0.778	2.491	1.713	1.699
0.901	2.694	1.793	1.743
0.551	2.639	2.088	2.143
1.114	3.303	2.189	2.181
1.215	2.437	1.222	1.220
0.474	1.411	0.937	0.916
1.090	1.896	0.806	0.821
0.386	2.680	2.294	2.407
1.202	3.545	2.343	2.356
0.504	1.510	1.006	0.990
0.842	0.948	0.106	0.106
0.898	2.417	1.519	1.501
0.547	1.815	1.268	1.269
0.981	3.634	2.653	2.678
1.203	1.568	0.365	0.284
1.315	2.522	1.207	1.236
0.899	3.156	2.257	2.337
2.042	4.558	2.516	2.538
0.661	1.416	0.755	0.709
1.765	2.583	0.818	0.858
1.442	1.796	0.354	0.290
0.796	1.879	1.083	1.064
0.958	2.377	1.419	1.434
1.727	1.986	0.259	0.268
1.472	4.313	2.841	2.867
1.609	1.924	0.315	0.244
1.165	5.036	3.871	4.006
0.444	2.691	2.247	2.312
1.131	1.912	0.781	0.670
0.838	0.969	0.131	0.146
1.426	1.902	0.476	0.528
0.740	2.741	2.001	2.151
0.957	1.878	0.921	0.906
0.685	4.407	3.722	3.586
0.851	3.789	2.938	2.885
1.231	5.241	4.010	4.037
0.447	3.937	3.490	3.539
1.002	2.084	1.082	1.043
0.148	1.377	1.229	1.267
1.171	1.889	0.718	0.715
1.820	3.652	1.832	1.912
0.640	2.577	1.937	1.934
1.153	4.778	3.625	3.661
1.705	2.579	0.874	0.876
2.175	2.667	0.492	0.623
0.970	4.763	3.793	3.843
0.371	3.307	2.936	2.871
0.613	1.691	1.078	1.068
1.778	2.882	1.104	1.108
1.459	4.325	2.866	2.997
1.230	1.239	0.009	0.036
0.951	1.224	0.273	0.271
0.774	2.198	1.424	1.391
1.754	3.314	1.560	1.617
0.884	2.208	1.324	1.316
1.036	1.901	0.865	0.860
1.279	4.839	3.560	3.523
2.058	2.813	0.755	0.779
1.503	3.372	1.869	1.834
0.998	2.000	1.002	1.000
0.396	2.039	1.643	1.645
1.412	2.501	1.089	1.025
1.181	2.751	1.570	1.650
0.702	1.449	0.747	0.748
0.727	3.926	3.199	3.237
0.691	2.910	2.219	2.234
0.639	2.151	1.512	1.558
1.007	3.831	2.824	2.734
1.698	4.261	2.563	2.612
0.640	1.696	1.056	1.081
0.679	3.890	3.211	3.219
1.092	1.938	0.846	0.894
1.072	2.004	0.932	0.993
1.066	3.807	2.741	2.495
1.191	4.357	3.166	3.240
1.272	4.228	2.956	2.874
1.127	1.697	0.570	0.517
1.838	2.141	0.303	0.264
2.791	4.240	1.449	1.356
0.898	2.598	1.700	1.836
0.820	0.910	0.090	0.103
0.860	3.857	2.997	2.933
1.245	1.944	0.699	0.710
0.557	5.762	5.205	5.204
1.608	2.565	0.957	0.985
0.737	2.235	1.498	1.488
0.783	3.649	2.866	2.739
0.860	5.272	4.412	4.561
1.220	2.609	1.389	1.341
2.093	3.764	1.671	1.667
0.571	5.773	5.202	5.297
1.232	1.347	0.115	0.093
0.472	3.786	3.314	3.391
1.266	4.273	3.007	2.995
0.569	2.438	1.869	1.937
0.653	3.543	2.890	2.907
0.650	3.404	2.754	2.628
1.987	2.226	0.239	0.300
0.476	2.726	2.250	2.327
1.514	4.149	2.635	2.820
1.608	2.451	0.843	0.814
1.937	3.415	1.478	1.465
0.884	2.528	1.644	1.663
0.932	2.349	1.417	1.406
1.174	4.132	2.958	2.913
0.290	2.585	2.295	2.194
0.343	1.270	0.927	0.966
0.935	1.314	0.379	0.393
0.982	2.418	1.436	1.448
1.609	3.399	1.790	1.953
1.001	2.189	1.188	1.138
1.148	3.922	2.774	2.778
0.664	2.182	1.518	1.517
1.499	1.701	0.202	0.285
0.520	1.297	0.777	0.762
1.064	1.404	0.340	0.390
0.895	2.175	1.280	1.358
0.503	3.622	3.119	3.148
0.411	0.774	0.363	0.368
0.788	1.459	0.671	0.684
0.626	2.615	1.989	1.968
1.195	4.833	3.638	3.669
1.500	2.938	1.438	1.372
0.317	1.482	1.165	1.249
0.391	4.386	3.995	4.064
1.402	5.367	3.965	3.947
0.651	3.365	2.714	2.765
1.583	4.682	3.099	3.304
1.482	2.654	1.172	1.188
0.505	4.380	3.875	3.860
0.756	1.210	0.454	0.506
0.632	2.221	1.589	1.561
0.354	0.660	0.306	0.290
1.980	2.964	0.984	1.102
1.330	2.864	1.534	1.551
1.372	2.151	0.779	0.712
0.561	1.646	1.085	1.049
1.393	3.980	2.587	2.396
1.426	3.663	2.237	2.356
0.862	2.183	1.321	1.379
