E	x
10.000	0.001
10.000	0.002
10.000	0.003
10.000	0.004
10.000	0.005
10.000	0.006
10.000	0.007
10.000	0.008
10.000	0.009
10.000	0.010
10.000	0.011
10.000	0.012
10.000	0.013
10.000	0.014
10.000	0.015
10.000	0.016
10.000	0.017
10.000	0.018
10.000	0.019
10.000	0.020
10.000	0.021
10.000	0.022
10.000	0.023
10.000	0.024
10.000	0.025
10.000	0.026
10.000	0.027
10.000	0.028
10.000	0.029
10.000	0.030
10.000	0.031
10.000	0.032
10.000	0.033
10.000	0.034
10.000	0.035
10.000	0.036
10.000	0.037
9.361	0.038
9.361	0.039
9.361	0.040
9.361	0.041
9.294	0.042
9.294	0.043
9.294	0.044
9.294	0.045
9.294	0.046
9.294	0.047
9.294	0.048
9.294	0.049
9.294	0.050
9.294	0.051
9.294	0.052
9.294	0.053
9.294	0.054
9.294	0.055
9.294	0.056
9.294	0.057
9.294	0.058
9.294	0.059
9.000	0.060
9.000	0.061
9.000	0.062
9.000	0.063
9.000	0.064
9.000	0.065
9.000	0.066
8.888	0.067
8.888	0.068
8.888	0.069
8.888	0.070
8.888	0.071
8.809	0.072
8.809	0.073
8.809	0.074
8.809	0.075
8.809	0.076
8.809	0.077
8.809	0.078
8.809	0.079
8.809	0.080
8.809	0.081
8.653	0.082
8.638	0.083
8.638	0.084
8.607	0.085
8.607	0.086
8.607	0.087
8.561	0.088
8.561	0.089
8.561	0.090
8.561	0.091
8.561	0.092
8.485	0.093
8.485	0.094
8.485	0.095
8.485	0.096
8.485	0.097
8.485	0.098
8.485	0.099
8.485	0.100
8.485	0.101
8.350	0.102
8.350	0.103
8.350	0.104
8.350	0.105
8.350	0.106
8.350	0.107
8.350	0.108
8.350	0.109
8.231	0.110
8.217	0.111
8.217	0.112
8.217	0.113
8.217	0.114
8.158	0.115
8.144	0.116
8.144	0.117
8.144	0.118
8.144	0.119
8.144	0.120
8.144	0.121
8.144	0.122
8.144	0.123
8.144	0.124
8.144	0.125
8.144	0.126
8.144	0.127
8.144	0.128
8.144	0.129
8.144	0.130
7.928	0.131
7.928	0.132
7.928	0.133
7.886	0.134
7.886	0.135
7.858	0.136
7.858	0.137
7.858	0.138
7.816	0.139
7.816	0.140
7.816	0.141
7.816	0.142
7.760	0.143
7.760	0.144
7.760	0.145
7.760	0.146
7.705	0.147
7.705	0.148
7.678	0.149
7.678	0.150
7.650	0.151
7.650	0.152
7.650	0.153
7.650	0.154
7.650	0.155
7.650	0.156
7.650	0.157
7.650	0.158
7.542	0.159
7.528	0.160
7.528	0.161
7.528	0.162
7.528	0.163
7.528	0.164
7.528	0.165
7.528	0.166
7.528	0.167
7.528	0.168
7.528	0.169
7.528	0.170
7.528	0.171
7.528	0.172
7.528	0.173
7.528	0.174
7.329	0.175
7.312	0.176
7.296	0.177
7.281	0.178
7.265	0.179
7.248	0.180
7.232	0.181
7.216	0.182
7.199	0.183
7.184	0.184
7.168	0.185
7.152	0.186
7.136	0.187
7.120	0.188
7.104	0.189
7.087	0.190
7.072	0.191
7.057	0.192
7.041	0.193
7.025	0.194
7.008	0.195
6.993	0.196
6.976	0.197
6.960	0.198
6.945	0.199
6.930	0.200
6.916	0.201
6.900	0.202
6.886	0.203
6.870	0.204
6.855	0.205
6.839	0.206
6.823	0.207
6.806	0.208
6.790	0.209
6.775	0.210
6.759	0.211
6.742	0.212
6.727	0.213
6.711	0.214
6.694	0.215
6.679	0.216
6.663	0.217
6.649	0.218
6.634	0.219
6.618	0.220
6.604	0.221
6.588	0.222
6.571	0.223
6.556	0.224
6.541	0.225
6.525	0.226
6.510	0.227
6.495	0.228
6.478	0.229
6.463	0.230
6.446	0.231
6.432	0.232
6.416	0.233
6.400	0.234
6.384	0.235
6.368	0.236
6.353	0.237
6.337	0.238
6.322	0.239
6.307	0.240
6.291	0.241
6.275	0.242
6.261	0.243
6.245	0.244
6.230	0.245
6.215	0.246
6.199	0.247
6.183	0.248
6.167	0.249
6.151	0.250
6.136	0.251
6.120	0.252
6.105	0.253
6.089	0.254
6.074	0.255
6.060	0.256
6.043	0.257
6.028	0.258
6.012	0.259
5.997	0.260
5.982	0.261
5.966	0.262
5.951	0.263
5.935	0.264
5.920	0.265
5.905	0.266
5.890	0.267
5.876	0.268
5.861	0.269
5.847	0.270
5.831	0.271
5.816	0.272
5.801	0.273
5.787	0.274
5.772	0.275
5.756	0.276
5.740	0.277
5.723	0.278
5.708	0.279
5.691	0.280
5.676	0.281
5.659	0.282
5.644	0.283
5.630	0.284
5.614	0.285
5.598	0.286
5.585	0.287
5.570	0.288
5.555	0.289
5.540	0.290
5.524	0.291
5.508	0.292
5.493	0.293
5.477	0.294
5.462	0.295
5.446	0.296
5.431	0.297
5.416	0.298
5.401	0.299
5.385	0.300
5.371	0.301
5.356	0.302
5.340	0.303
5.326	0.304
5.312	0.305
5.296	0.306
5.280	0.307
5.265	0.308
5.249	0.309
5.234	0.310
5.219	0.311
5.204	0.312
5.189	0.313
5.173	0.314
5.157	0.315
5.142	0.316
5.126	0.317
5.111	0.318
5.096	0.319
5.080	0.320
5.064	0.321
5.050	0.322
5.034	0.323
5.018	0.324
5.003	0.325
4.989	0.326
4.974	0.327
4.960	0.328
4.944	0.329
4.930	0.330
4.915	0.331
4.900	0.332
4.885	0.333
4.870	0.334
4.855	0.335
4.841	0.336
4.826	0.337
4.810	0.338
4.795	0.339
4.779	0.340
4.764	0.341
4.749	0.342
4.734	0.343
4.720	0.344
4.704	0.345
4.689	0.346
4.675	0.347
4.660	0.348
4.644	0.349
4.630	0.350
4.615	0.351
4.600	0.352
4.587	0.353
4.572	0.354
4.557	0.355
4.542	0.356
4.527	0.357
4.513	0.358
4.498	0.359
4.484	0.360
4.469	0.361
4.454	0.362
4.439	0.363
4.424	0.364
4.409	0.365
4.396	0.366
4.382	0.367
4.368	0.368
4.353	0.369
4.338	0.370
4.324	0.371
4.309	0.372
4.294	0.373
4.279	0.374
4.266	0.375
4.252	0.376
4.237	0.377
4.223	0.378
4.208	0.379
4.193	0.380
4.177	0.381
4.164	0.382
4.149	0.383
4.135	0.384
4.120	0.385
4.106	0.386
4.092	0.387
4.078	0.388
4.063	0.389
4.049	0.390
4.035	0.391
4.020	0.392
4.004	0.393
3.991	0.394
3.977	0.395
3.963	0.396
3.949	0.397
3.935	0.398
3.920	0.399
3.905	0.400
3.891	0.401
3.875	0.402
