E	x
100000.000	0.010
100000.000	0.020
100000.000	0.030
100000.000	0.040
100000.000	0.050
100000.000	0.060
89839.732	0.070
79283.285	0.080
79283.285	0.090
79283.285	0.100
79283.285	0.110
79283.285	0.120
79283.285	0.130
79283.285	0.140
79283.285	0.150
79283.285	0.160
79283.285	0.170
79283.285	0.180
57489.295	0.190
40948.413	0.200
28650.480	0.210
28650.480	0.220
19342.660	0.230
19342.660	0.240
19342.660	0.250
12377.552	0.260
12377.552	0.270
12377.552	0.280
7507.364	0.290
4472.857	0.300
4472.857	0.310
4472.857	0.320
2525.903	0.330
2525.903	0.340
1376.379	0.350
736.722	0.360
387.360	0.370
200.064	0.380
101.501	0.390
101.501	0.400
49.689	0.410
49.689	0.420
23.471	0.430
10.891	0.440
4.964	0.450
0.511	0.460
