dE/dx	x	p	betagamma
4.380	0.001	9.996	10.634
4.379	0.002	9.987	10.624
4.379	0.003	9.974	10.610
4.378	0.004	9.956	10.592
4.377	0.005	9.934	10.568
4.376	0.006	9.908	10.540
4.374	0.007	9.877	10.507
4.372	0.008	9.842	10.470
4.370	0.009	9.802	10.428
4.367	0.010	9.758	10.381
4.365	0.011	9.710	10.330
4.361	0.012	9.658	10.274
4.358	0.013	9.601	10.213
4.354	0.014	9.539	10.148
4.351	0.015	9.474	10.079
4.346	0.016	9.404	10.004
4.342	0.017	9.330	9.925
4.337	0.018	9.251	9.842
4.332	0.019	9.169	9.754
4.326	0.020	9.082	9.661
4.320	0.021	8.990	9.564
4.314	0.022	8.895	9.463
4.308	0.023	8.795	9.357
4.301	0.024	8.691	9.246
4.294	0.025	8.583	9.131
4.286	0.026	8.471	9.012
4.279	0.027	8.355	8.888
4.270	0.028	8.235	8.760
4.262	0.029	8.110	8.628
4.253	0.030	7.982	8.491
4.244	0.031	7.849	8.350
4.234	0.032	7.713	8.205
4.224	0.033	7.573	8.056
4.213	0.034	7.428	7.902
4.202	0.035	7.280	7.745
4.191	0.036	7.128	7.583
4.179	0.037	6.972	7.417
4.167	0.038	6.812	7.247
4.154	0.039	6.648	7.073
4.141	0.040	6.481	6.895
4.127	0.041	6.310	6.713
4.113	0.042	6.135	6.527
4.099	0.043	5.957	6.337
4.084	0.044	5.775	6.144
4.069	0.045	5.589	5.946
4.053	0.046	5.400	5.745
4.037	0.047	5.208	5.540
4.020	0.048	5.011	5.331
4.003	0.049	4.812	5.119
3.986	0.050	4.608	4.902
3.969	0.051	4.402	4.682
3.952	0.052	4.191	4.459
3.936	0.053	3.977	4.231
3.920	0.054	3.759	3.999
3.905	0.055	3.538	3.763
3.892	0.056	3.311	3.523
3.881	0.057	3.081	3.278
3.875	0.058	2.845	3.027
3.875	0.059	2.603	2.769
3.886	0.060	2.354	2.504
3.914	0.061	2.095	2.228
3.970	0.062	1.821	1.938
4.079	0.063	1.526	1.624
4.304	0.064	1.191	1.267
4.845	0.065	0.750	0.797
7.051	0.066	0.000	0.000
